date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,29,18,0.0,11.6,7,97,05:27 PM,05:34 AM,06:42 AM,06:04 PM,13,24,24,24,7,10,56,0.0,1011,29,10,151,5,Bengaluru
2018-01-02,29,19,0.0,11.6,7,100,06:31 PM,06:38 AM,06:42 AM,06:05 PM,13,24,24,23,9,11,54,0.0,1011,29,10,175,7,Bengaluru
2018-01-03,27,19,0.0,11.6,6,89,07:35 PM,07:41 AM,06:42 AM,06:06 PM,14,24,24,23,12,20,58,0.6,1012,27,10,111,8,Bengaluru
2018-01-04,27,18,0.0,11.6,6,81,08:38 PM,08:39 AM,06:43 AM,06:06 PM,13,22,22,22,16,16,58,0.0,1013,27,10,79,12,Bengaluru
2018-01-05,27,17,0.0,11.6,6,74,09:38 PM,09:33 AM,06:43 AM,06:07 PM,11,22,22,22,16,10,53,0.0,1013,27,10,80,11,Bengaluru
2018-01-06,28,17,0.0,11.6,6,67,10:34 PM,10:22 AM,06:43 AM,06:07 PM,10,22,22,22,12,7,50,0.0,1012,28,10,73,9,Bengaluru
2018-01-07,27,17,0.0,11.6,6,59,11:27 PM,11:09 AM,06:44 AM,06:08 PM,10,22,22,22,15,8,49,0.0,1013,27,10,61,10,Bengaluru
2018-01-08,26,16,0.0,11.6,6,52,No moonrise,11:52 AM,06:44 AM,06:08 PM,10,21,21,21,17,5,51,0.0,1014,26,10,83,13,Bengaluru
2018-01-09,27,17,0.0,11.6,6,45,12:18 AM,12:33 PM,06:44 AM,06:09 PM,13,22,22,21,19,17,63,0.0,1015,27,10,82,14,Bengaluru
2018-01-10,26,18,0.0,10.2,5,38,01:07 AM,01:14 PM,06:45 AM,06:09 PM,16,22,22,22,19,46,71,0.4,1016,26,10,83,15,Bengaluru
2018-01-11,27,18,0.0,11.6,6,30,01:56 AM,01:55 PM,06:45 AM,06:10 PM,17,24,24,23,16,32,71,0.1,1015,27,10,99,12,Bengaluru
2018-01-12,29,19,0.0,11.6,7,23,02:44 AM,02:37 PM,06:45 AM,06:11 PM,15,25,25,24,16,18,61,0.0,1014,29,10,99,12,Bengaluru
2018-01-13,30,20,0.0,11.6,7,16,03:33 AM,03:21 PM,06:45 AM,06:11 PM,12,25,25,24,18,2,50,0.0,1014,30,10,103,13,Bengaluru
2018-01-14,29,19,0.0,11.6,7,9,04:21 AM,04:06 PM,06:45 AM,06:12 PM,11,24,24,24,18,1,48,0.0,1015,29,10,91,13,Bengaluru
2018-01-15,29,19,0.0,11.6,7,1,05:10 AM,04:53 PM,06:46 AM,06:12 PM,11,24,24,24,17,5,47,0.0,1014,29,10,87,12,Bengaluru
2018-01-16,29,19,0.0,11.6,7,0,05:58 AM,05:42 PM,06:46 AM,06:13 PM,12,24,24,24,15,16,52,0.0,1013,29,10,70,11,Bengaluru
2018-01-17,28,19,0.0,11.6,7,0,06:45 AM,06:30 PM,06:46 AM,06:13 PM,11,23,23,23,16,8,51,0.0,1013,28,10,73,12,Bengaluru
2018-01-18,28,18,0.0,11.6,6,6,07:31 AM,07:20 PM,06:46 AM,06:14 PM,8,22,22,22,16,2,44,0.0,1014,28,10,74,12,Bengaluru
2018-01-19,27,18,0.0,11.6,6,13,08:15 AM,08:09 PM,06:46 AM,06:14 PM,7,22,22,22,16,1,41,0.0,1015,27,10,70,13,Bengaluru
