,date,TempC,Forecast(TempC),Lower Confidence Bound(TempC),Upper Confidence Bound(TempC)
0,2018-01-01,29.0,,,
1,2018-01-02,29.0,,,
2,2018-01-03,27.0,,,
3,2018-01-04,27.0,,,
4,2018-01-05,27.0,,,
5,2018-01-06,28.0,,,
6,2018-01-07,27.0,,,
7,2018-01-08,26.0,,,
8,2018-01-09,27.0,,,
9,2018-01-10,26.0,,,
10,2018-01-11,27.0,,,
11,2018-01-12,29.0,,,
12,2018-01-13,30.0,,,
13,2018-01-14,29.0,,,
14,2018-01-15,29.0,,,
15,2018-01-16,29.0,,,
16,2018-01-17,28.0,,,
17,2018-01-18,28.0,,,
18,2018-01-19,27.0,,,
19,2018-01-20,29.0,,,
20,2018-01-21,28.0,,,
21,2018-01-22,29.0,,,
22,2018-01-23,29.0,,,
23,2018-01-24,29.0,,,
24,2018-01-25,29.0,,,
25,2018-01-26,31.0,,,
26,2018-01-27,29.0,,,
27,2018-01-28,29.0,,,
28,2018-01-29,29.0,,,
29,2018-01-30,29.0,,,
30,2018-01-31,30.0,,,
31,2018-02-01,30.0,,,
32,2018-02-02,30.0,,,
33,2018-02-03,29.0,,,
34,2018-02-04,29.0,,,
35,2018-02-05,29.0,,,
36,2018-02-06,30.0,,,
37,2018-02-07,29.0,,,
38,2018-02-08,29.0,,,
39,2018-02-09,31.0,,,
40,2018-02-10,29.0,,,
41,2018-02-11,29.0,,,
42,2018-02-12,29.0,,,
43,2018-02-13,29.0,,,
44,2018-02-14,29.0,,,
45,2018-02-15,30.0,,,
46,2018-02-16,30.0,,,
47,2018-02-17,31.0,,,
48,2018-02-18,30.0,,,
49,2018-02-19,30.0,,,
50,2018-02-20,31.0,,,
51,2018-02-21,31.0,,,
52,2018-02-22,30.0,,,
53,2018-02-23,30.0,,,
54,2018-02-24,30.0,,,
55,2018-02-25,31.0,,,
56,2018-02-26,32.0,,,
57,2018-02-27,31.0,,,
58,2018-02-28,32.0,,,
59,2018-03-01,32.0,,,
60,2018-03-02,32.0,,,
61,2018-03-03,34.0,,,
62,2018-03-04,34.0,,,
63,2018-03-05,33.0,,,
64,2018-03-06,33.0,,,
65,2018-03-07,33.0,,,
66,2018-03-08,33.0,,,
67,2018-03-09,33.0,,,
68,2018-03-10,33.0,,,
69,2018-03-11,33.0,,,
70,2018-03-12,33.0,,,
71,2018-03-13,32.0,,,
72,2018-03-14,32.0,,,
73,2018-03-15,32.0,,,
74,2018-03-16,30.0,,,
75,2018-03-17,29.0,,,
76,2018-03-18,28.0,,,
77,2018-03-19,31.0,,,
78,2018-03-20,33.0,,,
79,2018-03-21,34.0,,,
80,2018-03-22,32.0,,,
81,2018-03-23,33.0,,,
82,2018-03-24,31.0,,,
83,2018-03-25,34.0,,,
84,2018-03-26,34.0,,,
85,2018-03-27,34.0,,,
86,2018-03-28,34.0,,,
87,2018-03-29,33.0,,,
88,2018-03-30,32.0,,,
89,2018-03-31,32.0,,,
90,2018-04-01,34.0,,,
91,2018-04-02,32.0,,,
92,2018-04-03,33.0,,,
93,2018-04-04,34.0,,,
94,2018-04-05,34.0,,,
95,2018-04-06,34.0,,,
96,2018-04-07,34.0,,,
97,2018-04-08,34.0,,,
98,2018-04-09,34.0,,,
99,2018-04-10,33.0,,,
100,2018-04-11,34.0,,,
101,2018-04-12,33.0,,,
102,2018-04-13,35.0,,,
103,2018-04-14,35.0,,,
104,2018-04-15,34.0,,,
105,2018-04-16,33.0,,,
106,2018-04-17,35.0,,,
107,2018-04-18,36.0,,,
108,2018-04-19,36.0,,,
109,2018-04-20,34.0,,,
110,2018-04-21,34.0,,,
111,2018-04-22,33.0,,,
112,2018-04-23,33.0,,,
113,2018-04-24,34.0,,,
114,2018-04-25,34.0,,,
115,2018-04-26,33.0,,,
116,2018-04-27,35.0,,,
117,2018-04-28,35.0,,,
118,2018-04-29,35.0,,,
119,2018-04-30,35.0,,,
120,2018-05-01,36.0,,,
121,2018-05-02,34.0,,,
122,2018-05-03,32.0,,,
123,2018-05-04,33.0,,,
124,2018-05-05,33.0,,,
125,2018-05-06,35.0,,,
126,2018-05-07,33.0,,,
127,2018-05-08,33.0,,,
128,2018-05-09,32.0,,,
129,2018-05-10,31.0,,,
130,2018-05-11,34.0,,,
131,2018-05-12,32.0,,,
132,2018-05-13,33.0,,,
133,2018-05-14,31.0,,,
134,2018-05-15,31.0,,,
135,2018-05-16,33.0,,,
136,2018-05-17,33.0,,,
137,2018-05-18,33.0,,,
138,2018-05-19,34.0,,,
139,2018-05-20,34.0,,,
140,2018-05-21,33.0,,,
141,2018-05-22,32.0,,,
142,2018-05-23,32.0,,,
143,2018-05-24,31.0,,,
144,2018-05-25,31.0,,,
145,2018-05-26,31.0,,,
146,2018-05-27,33.0,,,
147,2018-05-28,32.0,,,
148,2018-05-29,31.0,,,
149,2018-05-30,31.0,,,
150,2018-05-31,31.0,,,
151,2018-06-01,32.0,,,
152,2018-06-02,30.0,,,
153,2018-06-03,29.0,,,
154,2018-06-04,27.0,,,
155,2018-06-05,30.0,,,
156,2018-06-06,29.0,,,
157,2018-06-07,30.0,,,
158,2018-06-08,26.0,,,
159,2018-06-09,28.0,,,
160,2018-06-10,29.0,,,
161,2018-06-11,28.0,,,
162,2018-06-12,29.0,,,
163,2018-06-13,30.0,,,
164,2018-06-14,29.0,,,
165,2018-06-15,31.0,,,
166,2018-06-16,31.0,,,
167,2018-06-17,31.0,,,
168,2018-06-18,30.0,,,
169,2018-06-19,29.0,,,
170,2018-06-20,30.0,,,
171,2018-06-21,29.0,,,
172,2018-06-22,28.0,,,
173,2018-06-23,28.0,,,
174,2018-06-24,29.0,,,
175,2018-06-25,29.0,,,
176,2018-06-26,28.0,,,
177,2018-06-27,27.0,,,
178,2018-06-28,25.0,,,
179,2018-06-29,29.0,,,
180,2018-06-30,30.0,,,
181,2018-07-01,29.0,,,
182,2018-07-02,30.0,,,
183,2018-07-03,28.0,,,
184,2018-07-04,29.0,,,
185,2018-07-05,30.0,,,
186,2018-07-06,27.0,,,
187,2018-07-07,25.0,,,
188,2018-07-08,26.0,,,
189,2018-07-09,28.0,,,
190,2018-07-10,27.0,,,
191,2018-07-11,27.0,,,
192,2018-07-12,26.0,,,
193,2018-07-13,27.0,,,
194,2018-07-14,27.0,,,
195,2018-07-15,26.0,,,
196,2018-07-16,27.0,,,
197,2018-07-17,28.0,,,
198,2018-07-18,29.0,,,
199,2018-07-19,29.0,,,
200,2018-07-20,28.0,,,
201,2018-07-21,28.0,,,
202,2018-07-22,28.0,,,
203,2018-07-23,26.0,,,
204,2018-07-24,26.0,,,
205,2018-07-25,28.0,,,
206,2018-07-26,29.0,,,
207,2018-07-27,28.0,,,
208,2018-07-28,28.0,,,
209,2018-07-29,29.0,,,
210,2018-07-30,30.0,,,
211,2018-07-31,28.0,,,
212,2018-08-01,28.0,,,
213,2018-08-02,31.0,,,
214,2018-08-03,29.0,,,
215,2018-08-04,28.0,,,
216,2018-08-05,28.0,,,
217,2018-08-06,27.0,,,
218,2018-08-07,25.0,,,
219,2018-08-08,28.0,,,
220,2018-08-09,28.0,,,
221,2018-08-10,27.0,,,
222,2018-08-11,24.0,,,
223,2018-08-12,24.0,,,
224,2018-08-13,26.0,,,
225,2018-08-14,24.0,,,
226,2018-08-15,26.0,,,
227,2018-08-16,23.0,,,
228,2018-08-17,27.0,,,
229,2018-08-18,28.0,,,
230,2018-08-19,27.0,,,
231,2018-08-20,27.0,,,
232,2018-08-21,28.0,,,
233,2018-08-22,29.0,,,
234,2018-08-23,28.0,,,
235,2018-08-24,28.0,,,
236,2018-08-25,27.0,,,
237,2018-08-26,27.0,,,
238,2018-08-27,27.0,,,
239,2018-08-28,27.0,,,
240,2018-08-29,27.0,,,
241,2018-08-30,27.0,,,
242,2018-08-31,28.0,,,
243,2018-09-01,28.0,,,
244,2018-09-02,29.0,,,
245,2018-09-03,29.0,,,
246,2018-09-04,28.0,,,
247,2018-09-05,27.0,,,
248,2018-09-06,28.0,,,
249,2018-09-07,28.0,,,
250,2018-09-08,29.0,,,
251,2018-09-09,29.0,,,
252,2018-09-10,28.0,,,
253,2018-09-11,30.0,,,
254,2018-09-12,31.0,,,
255,2018-09-13,28.0,,,
256,2018-09-14,31.0,,,
257,2018-09-15,30.0,,,
258,2018-09-16,29.0,,,
259,2018-09-17,26.0,,,
260,2018-09-18,29.0,,,
261,2018-09-19,26.0,,,
262,2018-09-20,24.0,,,
263,2018-09-21,28.0,,,
264,2018-09-22,29.0,,,
265,2018-09-23,29.0,,,
266,2018-09-24,29.0,,,
267,2018-09-25,30.0,,,
268,2018-09-26,29.0,,,
269,2018-09-27,30.0,,,
270,2018-09-28,28.0,,,
271,2018-09-29,29.0,,,
272,2018-09-30,28.0,,,
273,2018-10-01,30.0,,,
274,2018-10-02,29.0,,,
275,2018-10-03,29.0,,,
276,2018-10-04,27.0,,,
277,2018-10-05,26.0,,,
278,2018-10-06,27.0,,,
279,2018-10-07,29.0,,,
280,2018-10-08,29.0,,,
281,2018-10-09,28.0,,,
282,2018-10-10,28.0,,,
283,2018-10-11,30.0,,,
284,2018-10-12,30.0,,,
285,2018-10-13,31.0,,,
286,2018-10-14,29.0,,,
287,2018-10-15,30.0,,,
288,2018-10-16,28.0,,,
289,2018-10-17,27.0,,,
290,2018-10-18,28.0,,,
291,2018-10-19,27.0,,,
292,2018-10-20,28.0,,,
293,2018-10-21,28.0,,,
294,2018-10-22,28.0,,,
295,2018-10-23,29.0,,,
296,2018-10-24,29.0,,,
297,2018-10-25,28.0,,,
298,2018-10-26,28.0,,,
299,2018-10-27,27.0,,,
300,2018-10-28,28.0,,,
301,2018-10-29,28.0,,,
302,2018-10-30,29.0,,,
303,2018-10-31,28.0,,,
304,2018-11-01,28.0,,,
305,2018-11-02,26.0,,,
306,2018-11-03,27.0,,,
307,2018-11-04,27.0,,,
308,2018-11-05,28.0,,,
309,2018-11-06,27.0,,,
310,2018-11-07,28.0,,,
311,2018-11-08,28.0,,,
312,2018-11-09,28.0,,,
313,2018-11-10,29.0,,,
314,2018-11-11,28.0,,,
315,2018-11-12,28.0,,,
316,2018-11-13,28.0,,,
317,2018-11-14,31.0,,,
318,2018-11-15,28.0,,,
319,2018-11-16,25.0,,,
320,2018-11-17,28.0,,,
321,2018-11-18,28.0,,,
322,2018-11-19,27.0,,,
323,2018-11-20,28.0,,,
324,2018-11-21,26.0,,,
325,2018-11-22,23.0,,,
326,2018-11-23,26.0,,,
327,2018-11-24,28.0,,,
328,2018-11-25,28.0,,,
329,2018-11-26,28.0,,,
330,2018-11-27,26.0,,,
331,2018-11-28,27.0,,,
332,2018-11-29,26.0,,,
