,date,TempC,Forecast(TempC),Lower Confidence Bound(TempC),Upper Confidence Bound(TempC)
0,2018-01-01,26.0,,,
1,2018-01-02,24.0,,,
2,2018-01-03,25.0,,,
3,2018-01-04,26.0,,,
4,2018-01-05,24.0,,,
5,2018-01-06,24.0,,,
6,2018-01-07,23.0,,,
7,2018-01-08,24.0,,,
8,2018-01-09,24.0,,,
9,2018-01-10,24.0,,,
10,2018-01-11,24.0,,,
11,2018-01-12,25.0,,,
12,2018-01-13,26.0,,,
13,2018-01-14,26.0,,,
14,2018-01-15,24.0,,,
15,2018-01-16,26.0,,,
16,2018-01-17,26.0,,,
17,2018-01-18,30.0,,,
18,2018-01-19,28.0,,,
19,2018-01-20,25.0,,,
20,2018-01-21,27.0,,,
21,2018-01-22,28.0,,,
22,2018-01-23,16.0,,,
23,2018-01-24,22.0,,,
24,2018-01-25,22.0,,,
25,2018-01-26,25.0,,,
26,2018-01-27,24.0,,,
27,2018-01-28,26.0,,,
28,2018-01-29,26.0,,,
29,2018-01-30,27.0,,,
30,2018-01-31,25.0,,,
31,2018-02-01,30.0,,,
32,2018-02-02,26.0,,,
33,2018-02-03,27.0,,,
34,2018-02-04,25.0,,,
35,2018-02-05,25.0,,,
36,2018-02-06,24.0,,,
37,2018-02-07,26.0,,,
38,2018-02-08,24.0,,,
39,2018-02-09,28.0,,,
40,2018-02-10,28.0,,,
41,2018-02-11,27.0,,,
42,2018-02-12,20.0,,,
43,2018-02-13,25.0,,,
44,2018-02-14,24.0,,,
45,2018-02-15,25.0,,,
46,2018-02-16,28.0,,,
47,2018-02-17,29.0,,,
48,2018-02-18,30.0,,,
49,2018-02-19,28.0,,,
50,2018-02-20,29.0,,,
51,2018-02-21,32.0,,,
52,2018-02-22,33.0,,,
53,2018-02-23,32.0,,,
54,2018-02-24,33.0,,,
55,2018-02-25,31.0,,,
56,2018-02-26,30.0,,,
57,2018-02-27,34.0,,,
58,2018-02-28,32.0,,,
59,2018-03-01,31.0,,,
60,2018-03-02,33.0,,,
61,2018-03-03,32.0,,,
62,2018-03-04,32.0,,,
63,2018-03-05,31.0,,,
64,2018-03-06,30.0,,,
65,2018-03-07,34.0,,,
66,2018-03-08,36.0,,,
67,2018-03-09,34.0,,,
68,2018-03-10,36.0,,,
69,2018-03-11,36.0,,,
70,2018-03-12,37.0,,,
71,2018-03-13,40.0,,,
72,2018-03-14,39.0,,,
73,2018-03-15,36.0,,,
74,2018-03-16,34.0,,,
75,2018-03-17,34.0,,,
76,2018-03-18,36.0,,,
77,2018-03-19,36.0,,,
78,2018-03-20,37.0,,,
79,2018-03-21,33.0,,,
80,2018-03-22,33.0,,,
81,2018-03-23,34.0,,,
