date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,23,11,0.0,8.7,5,97,05:10 PM,06:04 AM,07:16 AM,05:45 PM,2,16,17,16,13,1,39,0.0,1015,23,10,147,7,Jaipur
2018-01-02,23,11,0.0,8.7,5,100,06:14 PM,07:10 AM,07:16 AM,05:46 PM,-0,16,16,16,10,0,34,0.0,1016,23,10,120,6,Jaipur
2018-01-03,25,11,0.0,8.7,5,89,07:21 PM,08:11 AM,07:16 AM,05:46 PM,2,16,16,16,7,0,39,0.0,1016,25,10,164,4,Jaipur
2018-01-04,22,11,0.0,8.7,5,81,08:27 PM,09:06 AM,07:17 AM,05:47 PM,2,16,16,16,13,0,41,0.0,1015,22,10,135,8,Jaipur
2018-01-05,25,11,0.0,8.7,5,74,09:32 PM,09:56 AM,07:17 AM,05:48 PM,2,17,17,17,9,0,37,0.0,1015,25,10,146,5,Jaipur
2018-01-06,23,11,0.0,8.7,5,67,10:33 PM,10:40 AM,07:17 AM,05:48 PM,2,16,16,16,10,3,40,0.0,1014,23,10,129,6,Jaipur
2018-01-07,23,12,0.0,8.7,5,59,11:32 PM,11:21 AM,07:17 AM,05:49 PM,-0,16,16,16,16,0,34,0.0,1016,23,10,166,9,Jaipur
2018-01-08,24,11,0.0,8.7,5,52,No moonrise,11:59 AM,07:17 AM,05:50 PM,-1,16,16,16,8,0,32,0.0,1018,24,10,158,4,Jaipur
2018-01-09,26,10,0.0,8.7,5,45,12:28 AM,12:35 PM,07:17 AM,05:51 PM,-1,17,17,17,9,0,30,0.0,1020,26,10,100,5,Jaipur
2018-01-10,26,11,0.0,8.7,5,38,01:22 AM,01:11 PM,07:17 AM,05:51 PM,-3,17,17,17,11,1,26,0.0,1020,26,10,193,6,Jaipur
2018-01-11,24,12,0.0,8.7,5,30,02:15 AM,01:48 PM,07:18 AM,05:52 PM,-7,17,17,17,16,2,18,0.0,1018,24,10,320,9,Jaipur
2018-01-12,25,11,0.0,8.7,6,23,03:08 AM,02:26 PM,07:18 AM,05:53 PM,-2,18,18,18,12,8,27,0.0,1016,25,10,284,7,Jaipur
2018-01-13,26,13,0.0,8.7,6,16,04:00 AM,03:07 PM,07:18 AM,05:54 PM,3,19,19,19,12,5,37,0.0,1016,26,10,268,7,Jaipur
2018-01-14,26,13,0.0,8.7,6,9,04:51 AM,03:50 PM,07:18 AM,05:54 PM,1,19,19,19,12,2,31,0.0,1017,26,10,212,7,Jaipur
2018-01-15,26,13,0.0,8.7,6,1,05:42 AM,04:36 PM,07:17 AM,05:55 PM,-3,18,18,18,12,0,24,0.0,1017,26,10,214,7,Jaipur
2018-01-16,27,11,0.0,8.7,6,0,06:30 AM,05:25 PM,07:17 AM,05:56 PM,-0,18,18,18,12,0,31,0.0,1014,27,10,248,7,Jaipur
2018-01-17,26,12,0.0,8.7,6,0,07:16 AM,06:15 PM,07:17 AM,05:57 PM,4,18,19,18,14,4,40,0.0,1014,26,10,134,8,Jaipur
2018-01-18,29,13,0.0,8.7,6,6,07:59 AM,07:08 PM,07:17 AM,05:58 PM,7,20,20,20,9,2,43,0.0,1016,29,10,148,5,Jaipur
2018-01-19,27,14,0.0,8.7,6,13,08:40 AM,08:01 PM,07:17 AM,05:58 PM,6,20,20,20,13,0,45,0.0,1017,27,10,169,7,Jaipur
2018-01-20,26,13,0.0,8.7,6,20,09:19 AM,08:54 PM,07:17 AM,05:59 PM,-2,18,18,18,14,0,30,0.0,1016,26,10,242,8,Jaipur
2018-01-21,27,11,0.0,10.8,6,28,09:56 AM,09:48 PM,07:17 AM,06:00 PM,-1,18,18,18,10,0,30,0.0,1015,27,10,114,5,Jaipur
2018-01-22,26,13,0.0,10.9,6,35,10:32 AM,10:42 PM,07:16 AM,06:01 PM,5,19,19,19,16,3,42,0.0,1012,26,10,126,9,Jaipur
2018-01-23,24,14,0.0,10.9,4,42,11:08 AM,11:38 PM,07:16 AM,06:01 PM,2,18,18,18,22,32,35,0.2,1010,24,10,214,13,Jaipur
2018-01-24,24,11,0.0,10.9,5,49,11:46 AM,No moonset,07:16 AM,06:02 PM,1,16,16,16,16,0,38,0.0,1014,24,10,290,9,Jaipur
2018-01-25,24,11,0.0,10.9,5,57,12:25 PM,12:36 AM,07:15 AM,06:03 PM,4,16,17,16,10,0,49,0.0,1014,24,10,298,6,Jaipur
2018-01-26,25,12,0.0,10.9,6,64,01:09 PM,01:36 AM,07:15 AM,06:04 PM,0,18,18,18,13,0,34,0.0,1014,25,10,176,8,Jaipur
2018-01-27,26,11,0.0,10.9,6,71,01:57 PM,02:38 AM,07:15 AM,06:05 PM,3,18,18,18,10,0,40,0.0,1015,26,10,142,6,Jaipur
2018-01-28,27,12,0.0,10.9,6,78,02:51 PM,03:43 AM,07:14 AM,06:05 PM,5,19,19,19,11,0,44,0.0,1015,27,10,145,6,Jaipur
2018-01-29,28,13,0.0,10.9,6,86,03:51 PM,04:47 AM,07:14 AM,06:06 PM,6,20,20,20,11,0,43,0.0,1017,28,10,153,6,Jaipur
2018-01-30,28,15,0.0,10.9,6,93,04:55 PM,05:50 AM,07:13 AM,06:07 PM,2,20,20,21,16,0,31,0.0,1017,28,10,278,10,Jaipur
2018-01-31,29,15,0.0,11.0,6,97,06:02 PM,06:48 AM,07:13 AM,06:08 PM,2,20,20,21,18,7,31,0.0,1016,29,10,311,10,Jaipur
