,date,TempC,Forecast(TempC),Lower Confidence Bound(TempC),Upper Confidence Bound(TempC)
0,2018-01-01,23.0,,,
1,2018-01-02,23.0,,,
2,2018-01-03,25.0,,,
3,2018-01-04,22.0,,,
4,2018-01-05,25.0,,,
5,2018-01-06,23.0,,,
6,2018-01-07,23.0,,,
7,2018-01-08,24.0,,,
8,2018-01-09,26.0,,,
9,2018-01-10,26.0,,,
10,2018-01-11,24.0,,,
11,2018-01-12,25.0,,,
12,2018-01-13,26.0,,,
13,2018-01-14,26.0,,,
14,2018-01-15,26.0,,,
15,2018-01-16,27.0,,,
16,2018-01-17,26.0,,,
17,2018-01-18,29.0,,,
18,2018-01-19,27.0,,,
19,2018-01-20,26.0,,,
20,2018-01-21,27.0,,,
21,2018-01-22,26.0,,,
22,2018-01-23,24.0,,,
23,2018-01-24,24.0,,,
24,2018-01-25,24.0,,,
25,2018-01-26,25.0,,,
26,2018-01-27,26.0,,,
27,2018-01-28,27.0,,,
28,2018-01-29,28.0,,,
29,2018-01-30,28.0,,,
30,2018-01-31,29.0,,,
31,2018-02-01,29.0,,,
32,2018-02-02,28.0,,,
33,2018-02-03,29.0,,,
34,2018-02-04,28.0,,,
35,2018-02-05,26.0,,,
36,2018-02-06,26.0,,,
37,2018-02-07,27.0,,,
38,2018-02-08,25.0,,,
39,2018-02-09,26.0,,,
40,2018-02-10,26.0,,,
41,2018-02-11,26.0,,,
42,2018-02-12,26.0,,,
43,2018-02-13,26.0,,,
44,2018-02-14,26.0,,,
45,2018-02-15,28.0,,,
46,2018-02-16,28.0,,,
47,2018-02-17,30.0,,,
48,2018-02-18,29.0,,,
49,2018-02-19,32.0,,,
50,2018-02-20,33.0,,,
51,2018-02-21,33.0,,,
52,2018-02-22,33.0,,,
53,2018-02-23,33.0,,,
54,2018-02-24,32.0,,,
55,2018-02-25,31.0,,,
56,2018-02-26,31.0,,,
57,2018-02-27,34.0,,,
58,2018-02-28,32.0,,,
59,2018-03-01,33.0,,,
60,2018-03-02,34.0,,,
61,2018-03-03,34.0,,,
62,2018-03-04,32.0,,,
63,2018-03-05,30.0,,,
64,2018-03-06,31.0,,,
65,2018-03-07,35.0,,,
66,2018-03-08,34.0,,,
67,2018-03-09,34.0,,,
68,2018-03-10,36.0,,,
69,2018-03-11,35.0,,,
70,2018-03-12,36.0,,,
71,2018-03-13,36.0,,,
72,2018-03-14,34.0,,,
73,2018-03-15,34.0,,,
74,2018-03-16,33.0,,,
75,2018-03-17,33.0,,,
76,2018-03-18,35.0,,,
77,2018-03-19,36.0,,,
78,2018-03-20,34.0,,,
79,2018-03-21,33.0,,,
80,2018-03-22,31.0,,,
81,2018-03-23,31.0,,,
82,2018-03-24,34.0,,,
83,2018-03-25,36.0,,,
84,2018-03-26,37.0,,,
85,2018-03-27,38.0,,,
86,2018-03-28,39.0,,,
87,2018-03-29,39.0,,,
88,2018-03-30,39.0,,,
89,2018-03-31,39.0,,,
90,2018-04-01,38.0,,,
91,2018-04-02,38.0,,,
92,2018-04-03,39.0,,,
93,2018-04-04,40.0,,,
94,2018-04-05,39.0,,,
95,2018-04-06,38.0,,,
96,2018-04-07,37.0,,,
97,2018-04-08,37.0,,,
98,2018-04-09,38.0,,,
99,2018-04-10,38.0,,,
100,2018-04-11,37.0,,,
101,2018-04-12,36.0,,,
102,2018-04-13,40.0,,,
103,2018-04-14,38.0,,,
104,2018-04-15,39.0,,,
105,2018-04-16,40.0,,,
106,2018-04-17,40.0,,,
107,2018-04-18,40.0,,,
108,2018-04-19,39.0,,,
109,2018-04-20,38.0,,,
110,2018-04-21,37.0,,,
111,2018-04-22,36.0,,,
112,2018-04-23,38.0,,,
113,2018-04-24,40.0,,,
114,2018-04-25,41.0,,,
115,2018-04-26,42.0,,,
116,2018-04-27,43.0,,,
117,2018-04-28,43.0,,,
118,2018-04-29,44.0,,,
119,2018-04-30,44.0,,,
120,2018-05-01,44.0,,,
121,2018-05-02,43.0,,,
122,2018-05-03,42.0,,,
123,2018-05-04,43.0,,,
124,2018-05-05,43.0,,,
125,2018-05-06,42.0,,,
126,2018-05-07,41.0,,,
127,2018-05-08,37.0,,,
128,2018-05-09,38.0,,,
129,2018-05-10,42.0,,,
130,2018-05-11,44.0,,,
131,2018-05-12,44.0,,,
132,2018-05-13,43.0,,,
133,2018-05-14,42.0,,,
134,2018-05-15,41.0,,,
135,2018-05-16,43.0,,,
136,2018-05-17,43.0,,,
137,2018-05-18,43.0,,,
138,2018-05-19,43.0,,,
139,2018-05-20,45.0,,,
140,2018-05-21,46.0,,,
141,2018-05-22,46.0,,,
142,2018-05-23,45.0,,,
143,2018-05-24,44.0,,,
144,2018-05-25,44.0,,,
145,2018-05-26,44.0,,,
146,2018-05-27,44.0,,,
147,2018-05-28,44.0,,,
148,2018-05-29,45.0,,,
149,2018-05-30,43.0,,,
150,2018-05-31,45.0,,,
151,2018-06-01,45.0,,,
152,2018-06-02,45.0,,,
153,2018-06-03,45.0,,,
154,2018-06-04,45.0,,,
155,2018-06-05,46.0,,,
156,2018-06-06,42.0,,,
157,2018-06-07,44.0,,,
158,2018-06-08,44.0,,,
159,2018-06-09,40.0,,,
160,2018-06-10,40.0,,,
161,2018-06-11,41.0,,,
162,2018-06-12,43.0,,,
163,2018-06-13,42.0,,,
164,2018-06-14,42.0,,,
165,2018-06-15,41.0,,,
166,2018-06-16,40.0,,,
167,2018-06-17,40.0,,,
168,2018-06-18,39.0,,,
169,2018-06-19,41.0,,,
170,2018-06-20,43.0,,,
171,2018-06-21,42.0,,,
172,2018-06-22,44.0,,,
173,2018-06-23,43.0,,,
174,2018-06-24,41.0,,,
175,2018-06-25,38.0,,,
176,2018-06-26,38.0,,,
177,2018-06-27,35.0,,,
178,2018-06-28,34.0,,,
179,2018-06-29,35.0,,,
180,2018-06-30,35.0,,,
181,2018-07-01,36.0,,,
182,2018-07-02,36.0,,,
183,2018-07-03,36.0,,,
184,2018-07-04,35.0,,,
185,2018-07-05,36.0,,,
186,2018-07-06,37.0,,,
187,2018-07-07,40.0,,,
188,2018-07-08,42.0,,,
189,2018-07-09,42.0,,,
190,2018-07-10,40.0,,,
191,2018-07-11,38.0,,,
192,2018-07-12,37.0,,,
193,2018-07-13,36.0,,,
194,2018-07-14,35.0,,,
195,2018-07-15,35.0,,,
196,2018-07-16,36.0,,,
197,2018-07-17,35.0,,,
198,2018-07-18,35.0,,,
199,2018-07-19,33.0,,,
200,2018-07-20,33.0,,,
201,2018-07-21,31.0,,,
202,2018-07-22,29.0,,,
203,2018-07-23,32.0,,,
204,2018-07-24,32.0,,,
205,2018-07-25,30.0,,,
206,2018-07-26,32.0,,,
207,2018-07-27,33.0,,,
208,2018-07-28,33.0,,,
209,2018-07-29,34.0,,,
210,2018-07-30,34.0,,,
211,2018-07-31,35.0,,,
212,2018-08-01,36.0,,,
213,2018-08-02,35.0,,,
214,2018-08-03,35.0,,,
215,2018-08-04,34.0,,,
216,2018-08-05,34.0,,,
