date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,28,19,0.0,8.7,7,97,04:26 PM,05:04 AM,06:16 AM,05:04 PM,10,25,25,24,9,4,42,0.0,1013,28,10,307,7,Kolkata
2018-01-02,28,20,0.0,8.7,7,100,05:30 PM,06:09 AM,06:17 AM,05:04 PM,10,24,24,24,11,0,43,0.0,1012,28,10,341,9,Kolkata
2018-01-03,28,18,0.0,8.7,7,89,06:35 PM,07:11 AM,06:17 AM,05:05 PM,8,23,23,23,11,1,38,0.0,1013,28,10,328,9,Kolkata
2018-01-04,25,17,0.0,8.7,6,81,07:41 PM,08:08 AM,06:17 AM,05:05 PM,5,21,21,21,12,0,36,0.0,1015,25,10,218,10,Kolkata
2018-01-05,26,16,0.0,8.7,6,74,08:43 PM,08:59 AM,06:17 AM,05:06 PM,5,22,22,22,9,0,35,0.0,1014,26,10,254,8,Kolkata
2018-01-06,27,17,0.0,8.7,6,67,09:44 PM,09:45 AM,06:18 AM,05:07 PM,5,21,21,22,10,0,34,0.0,1013,27,10,266,8,Kolkata
2018-01-07,25,16,0.0,8.7,6,59,10:40 PM,10:27 AM,06:18 AM,05:08 PM,4,21,21,21,10,0,34,0.0,1014,25,10,181,8,Kolkata
2018-01-08,24,15,0.0,8.7,6,52,11:35 PM,11:07 AM,06:18 AM,05:08 PM,5,21,21,20,10,0,36,0.0,1016,24,10,179,9,Kolkata
2018-01-09,26,15,0.0,8.7,6,45,No moonrise,11:45 AM,06:18 AM,05:09 PM,6,21,21,21,10,0,38,0.0,1017,26,10,215,9,Kolkata
2018-01-10,28,16,0.0,8.7,6,38,12:27 AM,12:23 PM,06:18 AM,05:10 PM,5,21,21,21,9,0,36,0.0,1017,28,10,266,8,Kolkata
2018-01-11,27,17,0.0,8.7,6,30,01:20 AM,01:01 PM,06:18 AM,05:10 PM,7,22,22,21,10,0,40,0.0,1016,27,10,220,8,Kolkata
2018-01-12,28,19,0.0,8.7,6,23,02:10 AM,01:41 PM,06:19 AM,05:11 PM,7,23,23,23,7,0,37,0.0,1015,28,10,190,6,Kolkata
2018-01-13,27,19,0.0,8.7,6,16,03:01 AM,02:22 PM,06:19 AM,05:12 PM,8,23,23,22,9,0,39,0.0,1015,27,10,257,8,Kolkata
2018-01-14,26,18,0.0,8.7,6,9,03:52 AM,03:06 PM,06:19 AM,05:12 PM,8,22,22,22,9,0,42,0.0,1016,26,10,213,8,Kolkata
