,date,TempC,Forecast(TempC),Lower Confidence Bound(TempC),Upper Confidence Bound(TempC)
0,2018-01-01,28.0,,,
1,2018-01-02,28.0,,,
2,2018-01-03,28.0,,,
3,2018-01-04,25.0,,,
4,2018-01-05,26.0,,,
5,2018-01-06,27.0,,,
6,2018-01-07,25.0,,,
7,2018-01-08,24.0,,,
8,2018-01-09,26.0,,,
9,2018-01-10,28.0,,,
10,2018-01-11,27.0,,,
11,2018-01-12,28.0,,,
12,2018-01-13,27.0,,,
13,2018-01-14,26.0,,,
14,2018-01-15,27.0,,,
15,2018-01-16,28.0,,,
16,2018-01-17,28.0,,,
17,2018-01-18,29.0,,,
18,2018-01-19,28.0,,,
19,2018-01-20,29.0,,,
20,2018-01-21,29.0,,,
21,2018-01-22,28.0,,,
22,2018-01-23,30.0,,,
23,2018-01-24,32.0,,,
24,2018-01-25,29.0,,,
25,2018-01-26,29.0,,,
26,2018-01-27,27.0,,,
27,2018-01-28,29.0,,,
28,2018-01-29,29.0,,,
29,2018-01-30,30.0,,,
30,2018-01-31,29.0,,,
31,2018-02-01,30.0,,,
32,2018-02-02,31.0,,,
33,2018-02-03,33.0,,,
34,2018-02-04,34.0,,,
35,2018-02-05,33.0,,,
36,2018-02-06,33.0,,,
37,2018-02-07,32.0,,,
38,2018-02-08,31.0,,,
39,2018-02-09,33.0,,,
40,2018-02-10,32.0,,,
41,2018-02-11,30.0,,,
42,2018-02-12,32.0,,,
43,2018-02-13,32.0,,,
44,2018-02-14,32.0,,,
45,2018-02-15,32.0,,,
46,2018-02-16,31.0,,,
47,2018-02-17,32.0,,,
48,2018-02-18,32.0,,,
49,2018-02-19,33.0,,,
50,2018-02-20,33.0,,,
51,2018-02-21,34.0,,,
52,2018-02-22,34.0,,,
53,2018-02-23,35.0,,,
54,2018-02-24,37.0,,,
55,2018-02-25,38.0,,,
56,2018-02-26,35.0,,,
57,2018-02-27,35.0,,,
58,2018-02-28,34.0,,,
59,2018-03-01,35.0,,,
60,2018-03-02,36.0,,,
61,2018-03-03,37.0,,,
62,2018-03-04,39.0,,,
63,2018-03-05,38.0,,,
64,2018-03-06,36.0,,,
65,2018-03-07,37.0,,,
66,2018-03-08,36.0,,,
67,2018-03-09,37.0,,,
68,2018-03-10,36.0,,,
69,2018-03-11,37.0,,,
70,2018-03-12,37.0,,,
71,2018-03-13,37.0,,,
72,2018-03-14,39.0,,,
73,2018-03-15,42.0,,,
74,2018-03-16,35.0,,,
75,2018-03-17,36.0,,,
76,2018-03-18,37.0,,,
77,2018-03-19,38.0,,,
78,2018-03-20,39.0,,,
79,2018-03-21,38.0,,,
80,2018-03-22,38.0,,,
81,2018-03-23,37.0,,,
82,2018-03-24,37.0,,,
83,2018-03-25,38.0,,,
84,2018-03-26,37.0,,,
85,2018-03-27,38.0,,,
86,2018-03-28,37.0,,,
87,2018-03-29,36.0,,,
88,2018-03-30,37.0,,,
89,2018-03-31,36.0,,,
90,2018-04-01,37.0,,,
91,2018-04-02,34.0,,,
92,2018-04-03,35.0,,,
93,2018-04-04,35.0,,,
94,2018-04-05,36.0,,,
95,2018-04-06,35.0,,,
96,2018-04-07,34.0,,,
97,2018-04-08,36.0,,,
98,2018-04-09,35.0,,,
99,2018-04-10,35.0,,,
100,2018-04-11,37.0,,,
101,2018-04-12,38.0,,,
102,2018-04-13,38.0,,,
103,2018-04-14,39.0,,,
104,2018-04-15,40.0,,,
105,2018-04-16,42.0,,,
106,2018-04-17,41.0,,,
107,2018-04-18,39.0,,,
108,2018-04-19,39.0,,,
109,2018-04-20,38.0,,,
110,2018-04-21,36.0,,,
111,2018-04-22,35.0,,,
112,2018-04-23,39.0,,,
113,2018-04-24,40.0,,,
114,2018-04-25,38.0,,,
115,2018-04-26,36.0,,,
116,2018-04-27,38.0,,,
117,2018-04-28,38.0,,,
118,2018-04-29,37.0,,,
119,2018-04-30,35.0,,,
120,2018-05-01,36.0,,,
121,2018-05-02,37.0,,,
122,2018-05-03,35.0,,,
123,2018-05-04,36.0,,,
124,2018-05-05,37.0,,,
125,2018-05-06,37.0,,,
126,2018-05-07,39.0,,,
127,2018-05-08,39.0,,,
128,2018-05-09,37.0,,,
129,2018-05-10,40.0,,,
130,2018-05-11,39.0,,,
131,2018-05-12,38.0,,,
132,2018-05-13,35.0,,,
133,2018-05-14,37.0,,,
134,2018-05-15,38.0,,,
135,2018-05-16,35.0,,,
136,2018-05-17,36.0,,,
137,2018-05-18,38.0,,,
138,2018-05-19,39.0,,,
139,2018-05-20,38.0,,,
140,2018-05-21,39.0,,,
141,2018-05-22,37.0,,,
142,2018-05-23,35.0,,,
143,2018-05-24,37.0,,,
144,2018-05-25,37.0,,,
145,2018-05-26,39.0,,,
146,2018-05-27,39.0,,,
147,2018-05-28,39.0,,,
148,2018-05-29,38.0,,,
149,2018-05-30,39.0,,,
150,2018-05-31,38.0,,,
151,2018-06-01,37.0,,,
152,2018-06-02,36.0,,,
153,2018-06-03,36.0,,,
154,2018-06-04,36.0,,,
155,2018-06-05,36.0,,,
156,2018-06-06,36.0,,,
157,2018-06-07,37.0,,,
158,2018-06-08,38.0,,,
159,2018-06-09,36.0,,,
160,2018-06-10,34.0,,,
161,2018-06-11,38.0,,,
162,2018-06-12,36.0,,,
163,2018-06-13,41.0,,,
164,2018-06-14,42.0,,,
165,2018-06-15,44.0,,,
166,2018-06-16,40.0,,,
167,2018-06-17,43.0,,,
168,2018-06-18,43.0,,,
169,2018-06-19,43.0,,,
170,2018-06-20,41.0,,,
171,2018-06-21,40.0,,,
172,2018-06-22,38.0,,,
173,2018-06-23,36.0,,,
174,2018-06-24,37.0,,,
175,2018-06-25,38.0,,,
176,2018-06-26,33.0,,,
177,2018-06-27,34.0,,,
178,2018-06-28,33.0,,,
179,2018-06-29,35.0,,,
180,2018-06-30,35.0,,,
181,2018-07-01,36.0,,,
182,2018-07-02,36.0,,,
183,2018-07-03,31.0,,,
184,2018-07-04,35.0,,,
185,2018-07-05,36.0,,,
186,2018-07-06,36.0,,,
187,2018-07-07,35.0,,,
188,2018-07-08,35.0,,,
189,2018-07-09,34.0,,,
190,2018-07-10,34.0,,,
191,2018-07-11,34.0,,,
192,2018-07-12,35.0,,,
193,2018-07-13,35.0,,,
194,2018-07-14,34.0,,,
195,2018-07-15,34.0,,,
196,2018-07-16,34.0,,,
197,2018-07-17,35.0,,,
198,2018-07-18,35.0,,,
199,2018-07-19,38.0,,,
200,2018-07-20,36.0,,,
201,2018-07-21,31.0,,,
202,2018-07-22,29.0,,,
203,2018-07-23,33.0,,,
204,2018-07-24,34.0,,,
205,2018-07-25,32.0,,,
206,2018-07-26,33.0,,,
207,2018-07-27,32.0,,,
208,2018-07-28,34.0,,,
209,2018-07-29,34.0,,,
210,2018-07-30,35.0,,,
211,2018-07-31,33.0,,,
212,2018-08-01,30.0,,,
213,2018-08-02,32.0,,,
214,2018-08-03,33.0,,,
215,2018-08-04,34.0,,,
216,2018-08-05,34.0,,,
217,2018-08-06,33.0,,,
218,2018-08-07,32.0,,,
219,2018-08-08,33.0,,,
220,2018-08-09,34.0,,,
221,2018-08-10,34.0,,,
222,2018-08-11,35.0,,,
223,2018-08-12,34.0,,,
224,2018-08-13,35.0,,,
225,2018-08-14,34.0,,,
226,2018-08-15,33.0,,,
227,2018-08-16,33.0,,,
228,2018-08-17,34.0,,,
229,2018-08-18,36.0,,,
230,2018-08-19,35.0,,,
231,2018-08-20,32.0,,,
232,2018-08-21,34.0,,,
233,2018-08-22,35.0,,,
234,2018-08-23,34.0,,,
235,2018-08-24,34.0,,,
236,2018-08-25,34.0,,,
237,2018-08-26,33.0,,,
238,2018-08-27,32.0,,,
239,2018-08-28,33.0,,,
240,2018-08-29,33.0,,,
241,2018-08-30,34.0,,,
242,2018-08-31,34.0,,,
243,2018-09-01,34.0,,,
244,2018-09-02,31.0,,,
245,2018-09-03,33.0,,,
246,2018-09-04,33.0,,,
247,2018-09-05,33.0,,,
248,2018-09-06,29.0,,,
249,2018-09-07,31.0,,,
250,2018-09-08,33.0,,,
251,2018-09-09,33.0,,,
252,2018-09-10,34.0,,,
253,2018-09-11,34.0,,,
254,2018-09-12,34.0,,,
255,2018-09-13,34.0,,,
256,2018-09-14,34.0,,,
257,2018-09-15,34.0,,,
258,2018-09-16,34.0,,,
259,2018-09-17,36.0,,,
260,2018-09-18,37.0,,,
261,2018-09-19,36.0,,,
262,2018-09-20,30.0,,,
263,2018-09-21,29.0,,,
264,2018-09-22,32.0,,,
